,urlDrugName,rating,effectiveness,sideEffects,condition,benefitsReview,sideEffectsReview,commentsReview
1598,xanax,5,Moderately Effective,Mild Side Effects,anxiety,The xanax would act as a downer. It would calm me temporaily but could throw me into depression depending on the situation. If the situation was mildly tramatic the xanax would calm me but then follow by depression. The following day I would have residual sedation. The main complain was the addiction. It was not exactly like a craving but if you did not take it your body would feel like something was missing. It did not hurt but until I took it again I felt not quite content and as soon as I would take the pill my body would feel like it would give a sigh of relief. I think it is as much addiction to the mind as to the body.,As I explained above. Addiction and drowsiness. Your mind and body felt like you were missing something. Until you took the pill you would be anxious but for no reason but as soon as you took the pill your mind would be relived. You would no longer dwell on the anxiety.,Once a day preferably at bedtime but if a situation arose I would have to take another sooner and still one at bedtime in order to sleep.
4095,chantix,5,Moderately Effective,Moderate Side Effects,stop smoking,The benefits were to eventually stop smoking.,At first I experienced a slight headache and upset stomache.,"I was to take 1 small dosage pill twice a day for 1 week.  Then increase the pill to the regular dose gradually after that week.  The medication is suppose to stop you from wanting to smoke basically by making you sick to your stomache when you smoke. During the first week you can smoke, but the second week you have to stop."
3707,ranitidine,7,Moderately Effective,No Side Effects,heartburn,"to reduce acid production and stop acid reflux, the tablets are easy to swallow and moderately effective, their effectivity is diminished if reflux is already occuring.",there are no side effects,take 2-3 times per day to aviod reflux acid. this is most effective prior to eating so take 30 minutes before eating or drinking alcohol will help to aviod heartburn
3168,prednisone,7,Considerably Effective,Moderate Side Effects,rheumatoid arthritis,Stopped inflammation. Reduced need for pain killers such as tylenol and advil.,"Weight gain, osteoporosis, moon face; noticed muscle weakness. Could not simply stop; had to taper off or risk side adenson disease. Seemed more sensitive to fatigue.","Taken daily orally once a day. Eventually tapered off to 5 mg. per day, then 5 every other day, then 5 once a week."
1866,augmentin,8,Highly Effective,Severe Side Effects,diverticulitis,Reduction of infection of acute uncomplicated diverticulitis,"Disturbing and painful balanitis after 4 days, lasted 2 weeks. Stomatitis to the point were eating and drinking became painful, used chloorhexidine mouthwash 1 minute 3 times daily, next to brushing (extremely painful mucosae and tongue). Lasted 10 days. Now disturbing and ugly proximal onychomyosis coming from a lateral onychomycosis on 20 % surface large toenail. My whole toenailplate is destroyed. I may need to take itraconazole or terbinafine for 9 months at least, if I want to cure this :(",Augmentin 875 mg twice a day for three weeks.
2150,zyrtec,10,Highly Effective,No Side Effects,seasonal allergies,"This medicine stopped post nasal drip, itching throat, eyes, and nose.",There were no treatment side effects noted.,"I have taken this medicine once daily, in the morning for at least 5 years.  It has been very helpful and does not make me sleepy.  It does not, however, last the 24 hours claimed, which is why I also take benadryl at night to manage allergy symptoms at night."
1544,methotrexate,3,Considerably Effective,Severe Side Effects,psoraitic arthritis,the treatment masked the psoriasis and what was considered arthritis,increasing all over body pain,I started with 4 tabs and increased to 6 as the all over body pain increased and then they were going to put me on prednisone.  I opted to turn to homeopathic treatment and weaned off the methotrexate.  The all over body pain went completely away but the psoriasis was exacerbated.  I'd rather have that than not be able to walk or move.
3985,fosamax,9,Considerably Effective,No Side Effects,bone loss,Helped build bone loss. Osteoporsis runs in my family. We are thin. Two of my sisters were diagnosed with osteoporsis in their early 40s. One sister fractured her pelvic bone at 40 from bone loss.,I had no side effects. I always followed the directions - take it with water. No other foods or drinks for an hour afterward. Don't ly down.,"I took the drug weekly for about 8 years. During that time I have had 3 bone scans. My bone loss subsided. I also drink a lot of diet soda though, and that can effect calcium intake. In the last year I have increased exercising with weights. I am due for another bone scan in the fall."
1597,xanax,9,Considerably Effective,Mild Side Effects,anxiety,"blood sugar controlled levels around 100-110, blood pressure had been normal ever since i was placed on these b/p medications.xanax was the only one that could prevent anxiety and panic attacks and help me sleep. as for fosamax, i have not had a follow up bone density so i do not know how beneficial it is for treating osteoporosis",since i started taking metformin my weight loss continued (this is unwanted weight loss). initially fosamax gave me severe flu like symptoms,"metformin 250 mg od, benicar 5 mg od , fosamax 70mg q wk,norvasc 2.5 mg od"
545,propranolol,5,Highly Effective,Mild Side Effects,rapid heart rate,"I have suffered of rapid heart rate for sometime because of my thyroid problem. I was given this medicine to get my heart rate controlled. First few weeks the medicine did not seem to work for me but my doctor increased the dosage to 20mg twice a day, then that was the time I started to feel my heart rate slow down. The medicine is definitely effective but I guess the effect of it depends on the individual as it requres a certain dosage for it to work effectively.",I started feeling dizzy whenever I get up from sitting position to standing. I have informed my doctor about this and I was informed that this is a possible side effect of the drug.,Details as above.
1631,premarin,4,Moderately Effective,Mild Side Effects,surgical memopause,The use of premarin reduced hot flashes and kept my skin looking younger. My skin doesn't look good since discontinuation of prenarin.,I experienced weight gain and sun sensitivity while taking premarin.,I took premarin once daily for over twenty five years following an emergency hysterectomy due to severe endometriosis. I stopped taking premarin because my doctor quit precsribing it.
298,lovenox,10,Highly Effective,Mild Side Effects,blood thinning/ circulation during pregnancy,"Lovenox is given in subsequent pregnancies to women with recurrent miscarriage due to autoimmune issues.  Prior to taking Lovenox, I had two second trimester losses and thanks to Lovenox I was able to carry my two daughters to term.  It allowed my placenta to last the pregnancy without clotting and I was able to successfully have two children.","There are no major side effects.  There is an increased risk of bleeding but I did not experience this.  The only mild side effects was burning at the site of the injection when the medicine was going in, and some bruising at the site of the injection. Other than this I did not experience any sorts of side effects what so ever.","I had to self administer the shots twice a day.  Lovenox shots are primarily given on the belly.   However, the area usually remains sensitive and for anyone taking the drug for a prolonged period of time like I was, eventually you will run out of spots in your abdominal area and have to move to the thigh (I had to move to the thigh area during my last month of pregnancy). Other than slight burning and bruising, there was no other issues.  Initially I had a hard time giving myself the shot, and my husband had to do it, but once you get used to it, it's not really that bad and I was able to do it easily later on.  I was supposed to start the shots prior to conception and continue them six weeks postpartum.  My overall experience with Lovenox is very good and I am very happy that this drug was around to help me."
3690,effexor-xr,9,Highly Effective,Mild Side Effects,severe depression,i was severly depressed for weeks and would just cry all the time. i had tried several other anidepressants and none of them worked. one day my doctor said lets try a new drug called effexor xr. i was started on 75 mg for about 2 months and was still depressed so then i was increased to 150 mg and have been on it since. i an so much happier and my family is also. this medicine has been my life saver and recommend anyone depressed to take this one,i very vivid dreams but i can live with this side effect to be happy,i found that the treatment plan has made life worth living
1438,tirosint,9,Highly Effective,No Side Effects,slow thyroid  & irregular period,"more energy and alertness, less fatigue & regular normal period duration. Periods had been irregular, and often very heavy with severe cramps and clotting. Mental attitude improved. I became less tired during the day and required fewer hours of sleep to feel fully rested. Concentration improved and thought process seems much more clear after taking the medicine for about four months.","none, I felt not ill effects",simply taking medication daily
2312,lexapro,3,Marginally Effective,Severe Side Effects,depression/anxiety,Increased libido.,"Vivid dreams, nightmares, diarrhea, increased anxiety, night sweats, exhaustion.","Began at 5 mg, increased to 10mg after a few weeks.  Have not been able to increase further because the side effects are so detrimental.  I am weaning myself off Lexapro now and beginning Celexa again.  I had a better experience on 20 mg of Celexa and it is far less expensive (because there is a generic)."
2114,renova,5,Moderately Effective,Mild Side Effects,wrinkles,The treatmeant benifits are that I showed a slight decrease in wrinkles. I really think that if used with other products it could be better. I also used sunscreen everyday. I really didn't see a difference in the sagging of the skin . I thought it would help with collagen production. I am continuing to use the product. I hope I see a difference.,"The side effects are dry skin. I can't wax my eyebrows without having the skin peeled off. I know they say to stop 3 days before you wax but it doesn't help. Also, living in florida, my skin became very sensitive to the sunlight. I also get a slight tingling when I apply my sunblock or lotion.","I went to my doctor and asked for a wrinkle treatment. He give me some samples of the creame. He then wrote me out a year prescription of the creame. He told me to apply it twice a day but, if my skin becomes dry, to reduce it to one a day. I preceeded to do that and it stopped some of the dryness."
1481,cymbalta,7,Considerably Effective,Mild Side Effects,depression,"Initially prescribed 25mg Zoloft for depression , but after two weeks my condition was markedly worse. I realize that each of us have different tolerances to various substances, and after my GP changed the medication to 30mg daily of Cymbalta my condition started to improve, but relapsed after about 3 weeks. The assumption was that I had required the higher dose of 60mg daily, and since taking 60mg daily my condition has improved to be close to my normal happy self with interests in various things. My advice is to find the medication that 'agrees' with you and stick with it for at least 1 month.",Dry mouth. Constipation.,Chewing gum to relieve dry mouth. Eating at least 8 prunes daily for constipation
3202,omnicef,1,Marginally Effective,Severe Side Effects,"severe sore throat with pus, and ear pain on same",Sore throat considerably better,"Constant nausea even with food, extremely cold, Extreme Dizziness, Hard to sleep, Severe shaking and weakness, fever, frequent need to urinate","I'm only on my second day and third dose, I'm taking this with 3 days, 2 times a day, 4 MG dose of Dexamethasone and I had a large shot of Rocephin"
1349,crestor,9,Considerably Effective,No Side Effects,hypercholestremia,"During first 12 months... lowered total cholesterol by 100 points, LDL by 90 points, and triglycerides by 74.11 months after starting medication, angina brought me to the ER. Cardiac catheterization was done and 60% blockage  found. 1 Year after that,more angina, another cath. and no change in blockage was found.","I did not experience any side effects and still continue that way. During the first year, my doctor was running labs every 3 months and at no time were any abnormalities noticed. He continues to do labs at 6 month intervals now and as of last one(3 weeks ago), still no problems noticed.","Began dose at 20 mg/day and have remained at that dose for 3.5 years. During that first year I also made some nutritional modifications. I recognize now that it was a half-hearted effort, but the combination still provided very good results.As of today, my cholesterol numbers have gotten even better. total CHOL.=102  TRI=49  LDL=55 and HDL=37(started @38).I had lapband surgery 3 months ago and have made dramatic changes in nutrition in addition to the medication."
777,naproxen,1,Ineffective,Severe Side Effects,back spasm,Nothing,I woke up 3am and couldnt sleep I had the worst stomach pains thats in my stomach like gas pains and they hurt so bad. They come every 5 mins its the worst pain. For 2 days I have been in pain. I'd never take this medicine again. Im about to get up and throw it away now!,None
2991,strattera,8,Considerably Effective,Mild Side Effects,bipolar,"The treatment helped the patient focus on her daily tasks and enabled her to 'get going' in the morning.  In turn, the patient was able to exercise daily which also helped her maintain concentration throughout the day.  Daily exercise also helped her maintain her moods at a stable level.","At first the patient took the medication before she went to bed, which kept her awake at night and did not allow her to sleep.  After a couple of week with inadequate sleep, she sought help and the doctor prescribed her sleeping medication, Ativan.  It turned out that the poor sleep was due to taking the medication improperly.  When that was corrected, the patient was able to sleep again and was able to function at a high rate.","The patient is being treated for bipolar I disorder, with the most recent episode severe depression.   Being bipolar, she is not able to take anti-depressants as this may induce mania.  Therefore strattera is an effective alternative which enables the patient to function at a higher level thus treating some forms of depression.  Other drugs are taken in combination with strattera to help the patient function at an optimal level each day."
2050,prempro,8,Considerably Effective,Mild Side Effects,pre-menepause,Blood pressure medicine lowered pressure and controled very well. starting bp was 140/100 to now at 115/65 or close to that. Thyroid medicine used after partial thyroidectomy due to benign cyst. Can't tell whether working on not. This is mostly based on acceptable blood levels.,Blood pressure medicine has a mild diaretic which causes frequent urination. Also some drowiness noticed so I take this at night before bed. Thyoid medicine really does not have any side affects for me. Tolerated well.,"I take low dose of Prempro each day in the morning. No problems and tolerated well. At first had some breakthrough bleeding but that stopped after a couple of months. Positives outweighed. Mood improved, less vaginal dryness, skin cleared as well."
1933,zithromax,6,Considerably Effective,Mild Side Effects,bronchitis infectiion,"Infection cleared up but the cough did not. The Bronchitis returned and is still present. The Z pack was used on 2 seperate occasions but after the cough mucus was back to a clear color, my physician said I was fine. It is 3 weeks later and I still have Bronchitis and although my coughing is better it certainly is not gone.",The side effects were stomach cramps and diarrhea for 2 weeks. I also took yogurt but that did not seem to help much. The cramps came within 48 hours of the first dose. It was easy to take but as i cramped so much I am really wondering if I did not take the Z pack would I have been in the same place as I am now without the heavy antibiotics.,"My physician said that I should rest, keep the house at 65 ' and drink warm drinks. I was very sick with not being able to sleep, coughing as if my chest bones would crack open and without sleep the days were very difficult.



I was not able to function during the day as I was sleep deprived and felt very bad for a week."
3657,kapidex,8,Considerably Effective,No Side Effects,reflux,stops persistent coughs in 30 days.,non,"I tend to have persistent coughs after a cold, the coughs would last up to 8 months. I had been prescribed many cough medicine to treat the coughs, but nothing seen to work. This condition would occur winter after winter after a winter cold. Only two years ago my GI doctor diagnozed my condition as associated with reflux, and prescribed Kapidex for me to take at the onset of a cough. It works great because it stops my coughs after one month instead of up to 8 months."
2451,symbyax,8,Considerably Effective,No Side Effects,bipolar disorder,"The benefits were great. I really liked Symbyax because it didn't give me side effects like the other medication I used to take did. I would wake up in the day feeling refreshed. As I was taking Seroquil for my Schitzophrenia, I would always wake up feeling exhausted and tired;still, even though I would take the medicine during the nights! I used to be stressed and aggravated all the time before Symbyax and Seroquil. Now that I'm on Symbyax, I'm emotionally numb and the voices in my head vanished. So I had a good nights sleep and didn't wake up as tired as Seroquil used to make me. :]","I didn't really have many side effects besides the medicine making me want to go to sleep. But I'm not complaining, since it does help the voices and the shadows go away for a while. Besides that, my psychiatrist wanted me to take advantage of the other side effect, and that side effect is that Symbyax might make you gain a little weight. So I wouldn't suggest it to people who want to lose weight. I still didn't seen any change in the weight gain and it was about a month when I started taking the lowest dose of Symbyax. Now that that month is over, I just started taking a higher dosage and I have noticed an increase in my appetite. I recommend this drug for the depressed ones who are a little underweight and the Schitzophrenics.","As I was being diagnosed for my Bipolar disorder, I would say the medication did more for me than my therapist. The drug, Symbyax, made me more calm than I have ever been. It took about a week for the medicine to kick in and when it did, it really did work its magic even though Seroquil was pretty good at knocking me out to sleep, it didn't help me with my anxiety and depression like Symbyax has."
2616,adderall-xr,8,Highly Effective,Moderate Side Effects,lack of attention for studying/school,"Was able to study 6 hours in a row, pay attention in class rather than daydream, made me want to be perfect and learn everything.","Loss of appetite, dry mouth, insomnia, OCD habits.

Last week, due to taking a class that was crammed into 2 weeks rather than 15 weeks, I took 9 adderall within a span of 5 days (mon-fri).  By Wednesday night, I had a lot of trouble breathing, I would take really deep quick breaths over and over.  This continued Thurs & Fri.  My heart beat was unstable by Thursday.  Thursday and Friday I had diarrhea all day, and by Friday night there was blood in my diarrhea.",20mg XR once a day
492,meridia,10,Highly Effective,No Side Effects,obesity,"Dramatic loss of weight and inches first week.  Settled into Meridia's Program provided over the Internet (comes with perscription).  Promised myself to follow the rules.  The toughest for me, was not to weigh myself everyday.  Meridia wanted me to check only once a week and I'm glad I refrained.  The thrill of seeing a huge difference each week has kept my knees from complaining.  The strength of Meridia has never lessened.  If I forget to take it, I feel like the bottom of my floor has opened up and I am in free fall.  It really is strange...  When I take it with my vitamins each morning, it gives me a definite feeling of support.  I am loosing 2 lbs each week along with inches.  I'm doing better than what they advertise but that is probably because I have a gym in my home.  I walk 70 miles/mo. and do free weights.  I also love my whey protein porrage in the morning with blueberries, shake for lunch and balanced meal for dinner.  I do eat snacks.  A Starbucks coffee (also made at home), with 1/2 an energy bar... or, an orange.  Responsible eating.  I also understand the dynamics of over eating, being menopausal with depleated hormones.  Meridia has been a life saver for me.  Thanks to my fabulous Doctor, who is also using it.","In 2 mo. (3/4 of the program), 22 lbs weight loss.","3 months, 1 capsule of 10 mg. per day.  After 3 mo., back in to see my Doctor for another check-up.  Continuing on Meridia for another 3 months for achievement of goal.  According to my Doctor, I can use it as a maintenance.  I honestly have no side effects.  I just wish it wasn't so expensive."
3675,effexor-xr,10,Highly Effective,No Side Effects,depression & anxiety,"I was having panic attacks and very high anxiety. Effexor XR helped to reduce the anxiety and eliminate the panic attacks. My depression is much, much better.",I have to take it with food or I get sick stomach. Otherwise I have no side effects.,"You must take a SSRI daily. If you skip a few days you start to feel like you are getting a really bad cold, and disoriented. They are hard to wean off of. Do not stop taking! Talk to your doctor if you feel you want to reduce your dosage."
886,paxil,8,Considerably Effective,Mild Side Effects,depression,"lessened the symptoms of my depression after taking the medication for about 2 to 3 weeks time, increased my appetite level, made my sleep more regular (I was either sleeping too much, or too little before taking the medication), increased my energy level",delayed or difficulty climaxing during sex,"one 20mg pill each day for 12 months, in addition to psychotherapy"
1601,xanax,9,Highly Effective,No Side Effects,severe depression< agrophobia & other phobias,"I was able to live, xanax gave me the ability to face life and dissolve my constant fear","There were no side effects as such.. the only one was a build up of resistence to Xanax..14 years to my consumption of Xanax I have build a resistance to it and needed more tablets per day for Xanax to have an effect. on top of this I got so severely depressed that I was taking up to 8 tablets per day, which was twice the allowed daily dosage","I was taking 4 tablets of Xanax per day, after 14 years I was taking up to 8 tablets per day."
304,protopic,10,Highly Effective,No Side Effects,eczema,cleared up chronic eczema.   Especially effective on elbows and legs.,I did not experience side effects all though I was warned to avoid exposing treated area to sunlight.,"I was told to use this once in the morning and once before going to bed.  I had to use it on clean skin, and to make sure ointment fully absorbed.  I started to see improvements within days.   I was warned that I might have recurrence of eczema after a few months, but I didn't."
1168,zofran,1,Ineffective,Extremely Severe Side Effects,nausea (after surgery),"Was prescribed in hospital to relieve nausea I was suffering, post foraminotomy.","Anaphylactic reaction.  Extreme shaking of extremities. Loss of consciousness. Treated by hospital ER staff. Prior known allergic reaction to Compazine, hospital pharmacy said they were unrelated class of drugs and should not have caused allergic reaction. Physician suggested I take no anti-nausea drugs from now on.",IV Steroids.
3492,serzone,10,Highly Effective,Mild Side Effects,sleep distubance/mild depression,"After just three weeks, I felt immensely better and began to enjoy the things that previously I had enjoyed--liked gardening and playing tennis. I also slept soundly. It lifted my mood dramatically, but never made me manic. I also felt more like being with people and noticed that I was no longer so preoccupied with myself or awkwardly self-consciousness. In short, I wasn't depressed and anxious anymore!","I gained about 5 lbs, which was not a problem for me since I'm slender to begin with. There was also some mild constipation, well not really constipation, but a decrease in the number of daily bowel movements. To offset that, I just drank more water. Not a big deal.","I used this drug after trying Wellbutrin, which made me too restless and hyper. It was proscribed by a psychiatrist, who was very well versed in pharmacology, for a depression that came about during menopause. I took it regularly for three years; it completely stopped negative thinking and enabled me to sleep deeply for the first time in several years. I had regular liver check-ups, but never had any decrease in correct liver functioning. After three years, I felt I was ready to cut back on the medication, which I did very, very gradually over the next year and a half so that there was no withdrawal period at all. I've been fine without it now for two years."
3370,lipitor,10,Highly Effective,Mild Side Effects,high cholesterol,I no longer suffered from heartburn and acid reflux.  One pill per day allows me to enjoy eating again and have no adverse effects from any type of food.  At least none that I am aware of.,"I have had no ill effects from the Lipitor or the Nexium.  However, my liver function numbers have increased slightly since being on Lipitor but that was expected to some degree.  I have been advise to lose about 20 pounds and we'll test again to see if they drop.","I have blood drawn for cholesterol and liver function tests every 6 months, some times more frequent if my doctor doesn't like the numbers.  Otherwise my cholesterol has been lowered considerably and I have no other side effects that I'm aware of."
