Text,Aspect,Sentiment_Score,,,,
"This is the first migraine medicine I've found to provide quick relief without unacceptable side effects of previous medications (nausea, severe drowsiness).",maxalt,-4,,,,
Once a day preferably at bedtime but if a situation arose I would have to take another sooner and still one at bedtime in order to sleep.,xanax,0,,,,
"I was to take 1 small dosage pill twice a day for 1 week.  Then increase the pill to the regular dose gradually after that week.  The medication is suppose to stop you from wanting to smoke basically by making you sick to your stomache when you smoke. During the first week you can smoke, but the second week you have to stop.",chantix,-3,,,,
take 2-3 times per day to aviod reflux acid. this is most effective prior to eating so take 30 minutes before eating or drinking alcohol will help to aviod heartburn,ranitidine,4,,,,
"Taken daily orally once a day. Eventually tapered off to 5 mg. per day, then 5 every other day, then 5 once a week.",prednisone,0,,,,
Augmentin 875 mg twice a day for three weeks.,augmentin,0,,,,
"I have taken this medicine once daily, in the morning for at least 5 years.  It has been very helpful and does not make me sleepy.  It does not, however, last the 24 hours claimed, which is why I also take benadryl at night to manage allergy symptoms at night.",zyrtec,2,,,,
I started with 4 tabs and increased to 6 as the all over body pain increased and then they were going to put me on prednisone.  I opted to turn to homeopathic treatment and weaned off the methotrexate.  The all over body pain went completely away but the psoriasis was exacerbated.  I'd rather have that than not be able to walk or move.,methotrexate,-4,,,,
"I took the drug weekly for about 8 years. During that time I have had 3 bone scans. My bone loss subsided. I also drink a lot of diet soda though, and that can effect calcium intake. In the last year I have increased exercising with weights. I am due for another bone scan in the fall.",fosamax,-2,,,,
"metformin 250 mg od, benicar 5 mg od , fosamax 70mg q wk,norvasc 2.5 mg od",xanax,0,,,,
Details as above.,propranolol,0,,,,
I took premarin once daily for over twenty five years following an emergency hysterectomy due to severe endometriosis. I stopped taking premarin because my doctor quit precsribing it.,premarin,-5,,,,
"I had to self administer the shots twice a day.  Lovenox shots are primarily given on the belly.   However, the area usually remains sensitive and for anyone taking the drug for a prolonged period of time like I was, eventually you will run out of spots in your abdominal area and have to move to the thigh (I had to move to the thigh area during my last month of pregnancy). Other than slight burning and bruising, there was no other issues.  Initially I had a hard time giving myself the shot, and my husband had to do it, but once you get used to it, it's not really that bad and I was able to do it easily later on.  I was supposed to start the shots prior to conception and continue them six weeks postpartum.  My overall experience with Lovenox is very good and I am very happy that this drug was around to help me.",lovenox,13,,,,
i found that the treatment plan has made life worth living,effexor-xr,2,,,,
simply taking medication daily,tirosint,0,,,,
"Began at 5 mg, increased to 10mg after a few weeks.  Have not been able to increase further because the side effects are so detrimental.  I am weaning myself off Lexapro now and beginning Celexa again.  I had a better experience on 20 mg of Celexa and it is far less expensive (because there is a generic).",lexapro,2,,,,
"I went to my doctor and asked for a wrinkle treatment. He give me some samples of the creame. He then wrote me out a year prescription of the creame. He told me to apply it twice a day but, if my skin becomes dry, to reduce it to one a day. I preceeded to do that and it stopped some of the dryness.",renova,-1,,,,
Chewing gum to relieve dry mouth. Eating at least 8 prunes daily for constipation,cymbalta,-1,,,,
"I'm only on my second day and third dose, I'm taking this with 3 days, 2 times a day, 4 MG dose of Dexamethasone and I had a large shot of Rocephin",omnicef,0,,,,
"Began dose at 20 mg/day and have remained at that dose for 3.5 years. During that first year I also made some nutritional modifications. I recognize now that it was a half-hearted effort, but the combination still provided very good results.As of today, my cholesterol numbers have gotten even better. total CHOL.=102  TRI=49  LDL=55 and HDL=37(started @38).I had lapband surgery 3 months ago and have made dramatic changes in nutrition in addition to the medication.",crestor,5,,,,
None,naproxen,0,,,,
"The patient is being treated for bipolar I disorder, with the most recent episode severe depression.   Being bipolar, she is not able to take anti-depressants as this may induce mania.  Therefore strattera is an effective alternative which enables the patient to function at a higher level thus treating some forms of depression.  Other drugs are taken in combination with strattera to help the patient function at an optimal level each day.",strattera,2,,,,
"I take low dose of Prempro each day in the morning. No problems and tolerated well. At first had some breakthrough bleeding but that stopped after a couple of months. Positives outweighed. Mood improved, less vaginal dryness, skin cleared as well.",prempro,2,,,,
"My physician said that I should rest, keep the house at 65 ' and drink warm drinks. I was very sick with not being able to sleep, coughing as if my chest bones would crack open and without sleep the days were very difficult.



I was not able to function during the day as I was sleep deprived and felt very bad for a week.",zithromax,3,,,,
"I tend to have persistent coughs after a cold, the coughs would last up to 8 months. I had been prescribed many cough medicine to treat the coughs, but nothing seen to work. This condition would occur winter after winter after a winter cold. Only two years ago my GI doctor diagnozed my condition as associated with reflux, and prescribed Kapidex for me to take at the onset of a cough. It works great because it stops my coughs after one month instead of up to 8 months.",kapidex,2,,,,
"As I was being diagnosed for my Bipolar disorder, I would say the medication did more for me than my therapist. The drug, Symbyax, made me more calm than I have ever been. It took about a week for the medicine to kick in and when it did, it really did work its magic even though Seroquil was pretty good at knocking me out to sleep, it didn't help me with my anxiety and depression like Symbyax has.",symbyax,8,,,,
20mg XR once a day,adderall-xr,0,,,,
"3 months, 1 capsule of 10 mg. per day.  After 3 mo., back in to see my Doctor for another check-up.  Continuing on Meridia for another 3 months for achievement of goal.  According to my Doctor, I can use it as a maintenance.  I honestly have no side effects.  I just wish it wasn't so expensive.",meridia,2,,,,
"You must take a SSRI daily. If you skip a few days you start to feel like you are getting a really bad cold, and disoriented. They are hard to wean off of. Do not stop taking! Talk to your doctor if you feel you want to reduce your dosage.",effexor-xr,-2,,,,
"one 20mg pill each day for 12 months, in addition to psychotherapy",paxil,0,,,,
"I was taking 4 tablets of Xanax per day, after 14 years I was taking up to 8 tablets per day.",xanax,0,,,,
"I was told to use this once in the morning and once before going to bed.  I had to use it on clean skin, and to make sure ointment fully absorbed.  I started to see improvements within days.   I was warned that I might have recurrence of eczema after a few months, but I didn't.",protopic,1,,,,
IV Steroids.,zofran,0,,,,
"I used this drug after trying Wellbutrin, which made me too restless and hyper. It was proscribed by a psychiatrist, who was very well versed in pharmacology, for a depression that came about during menopause. I took it regularly for three years; it completely stopped negative thinking and enabled me to sleep deeply for the first time in several years. I had regular liver check-ups, but never had any decrease in correct liver functioning. After three years, I felt I was ready to cut back on the medication, which I did very, very gradually over the next year and a half so that there was no withdrawal period at all. I've been fine without it now for two years.",serzone,-6,,,,
"I have blood drawn for cholesterol and liver function tests every 6 months, some times more frequent if my doctor doesn't like the numbers.  Otherwise my cholesterol has been lowered considerably and I have no other side effects that I'm aware of.",lipitor,3,,,,
Initial treatment included therapy and Lexapro in addition to Wellbutrin XL.  Now only on the Wellbutrin XL.  I see the psychiatrist every 4 months for re-evaluation.,wellbutrin-xl,0,,,,
Just makes you feel better... see pych once a month then see a therapist as often as needed.. its always best to combine the two,zoloft,5,,,,
prescribed as a daily preventive for herpes outbreak.,acyclovir,-2,,,,
"In order to correct Polycystic ovarian syndrom and to get pregnant I was given Progestin and clomid to resume ovulation. I would NEVER* take either of these synthetics again! I was a basketcase with mood swings, crying, depression etc.. and once I discontinued use I was able to return to a normal mental state. I used this for over 3 months while my poor family suffered, never recieving the results I hoped for. I achieved results only when I went natural and used a natural progetserone cream from AIM made with wild yam and instead of horrific side effects I had pleasant ones...my acne cleared, my insomnia got better and my overall mood was improved, 3 months later I was pregnant! I will always try herbal before synthetics from now on.",provera,0,,,,
"Twice a day for 5 days with large glasses of orange juice, which cuts the nausea.",augmentin,-1,,,,
"After diagnosed with tachycardia, prescribed metoprolol tartrate at varying doses over course of a few months (lowest dose possible was not high enough to keep heart rate low and next highest dose possible was too high, i.e, produced extreme shortness of breath/tight and heavy chest/dizziness. On the positive side, the medicine did slow heart rate and reduced episodes of extremely high heart rate. Next, prescribed metoprolol succinate with similar benefits and side effects. On both meds, side effects were too severe to function day to day. So I was put on Atenolol, and it has worked for me much better. Heart rate is held at a safe rate, and is more consistent than when on the metoprolol. Symptoms of dizziness, heavy chestedness, etc. are still present but highly diminished (I can at least perform normal daily functions now). Now I have additional symptoms of vertigo after elevator rides, indigestion, constipation, and short term memory loss (but nothing that I can't function with). Recently, doctors suggested a catheter ablation, as they discovered a source of my problems to be the presence of extra electrical pathways in my heart.",atenolol,0,,,,
"Daily pill. However, estrogen derived from mares is not bio-identical to humans and causes breast cancer. Also, progestin is only a synthetic version of progesterone, and we need progesterone for many, many things.",prempro,1,,,,
Injected by qualified personnel.  National Botox trainer.  Used 50 units total with a dilution of 1cc per 100 unit vial.  injected with several sites at frown lines and crows feet.,botox,0,,,,
"I take the medication three times a day as prescribed, drinking at least a cup of water with each dose.  I was originally taking a smaller dose of the gabapentin, but after about six months my thumb pain started to become more frequent again.  However, my doctor prescribe me a higher dose and that helped.  I do still have problems with the pain from time to time, but not at all like I used to.  All in all the drug has made a huge difference in my life thus far.",neurontin,-7,,,,
"already described above.  I do not believe in pharmacuticals for neurological disorders.



Supplements can provide benefits, but the process is long and expensive.  There is not standard cure

for any central nervous condition.  It takes time and reading and research, and taking a pill is only a short term solution.  I had allergies and my homeopathic doctor cleared my pathways that were not getting nutrients to my brain.  I am now dieting and staying away from gluten and lactose and processed food.



I'm doing detoxing and find with all the natural changes I have increased energy and do not have to depend on drugs.



Who know what the side effects are?  I could have aged my liver.",dexedrine,8,,,,
"I can recommend a reputable pharmacy (Aricept) - pill24.org I received the order and it was on time and the pills work great.

P.S. 5% discount coupon code: 9sh73h",aricept,5,,,,
"Doctor performed a colonscopy to role out cancer then he prescribed this medicne.  I have been taking it for the last three years, one a day.  Once I ran out and did not take it for a few days and all of my previous symptems came back.",aciphex,-1,,,,
This was an oral treatment and the regimine was twice daily.  I had to constantly use a moisturizer and my lips became the most dried and cracked than they had ever been before.,accutane,0,,,,
"four 10mg tablets taken daily throughout period. The medication is a beta blocker and has various medical uses. Including the treatment of high blood pressure, tremor and reduction of migraine. You are advised not to take alcohol whilst taking this medicine.",propranolol,-2,,,,
"The first few weeks were horrible with bad break outs, dryness, burning, redness, Peeling, It was a nightmare. Almost gave up on it but my dr would not let me. I then started using a moisteriser right after washing my face and then waited 1/2 hour to 1 hour before the Taz. Symptoms eased up and now my skin is beautiful. This stuff Rocks. Don't give up and keep it off of your lips!",avage,-3,,,,
"Client developed rash with many itchy bumps, could not get sleep or keep hands off bumps. Prednisone temporarily provided the client with mild relief, also calamine lotion was applied topically and seemed to provide some relief. Rash is subsiding mildly after one week of the Prednisone and calamine lotion. I would say if this symptom comes back that the client would use it again based on this experience.",prednisone,-6,,,,
started on 5mg then 10mg then 20mg then was brought down again to 10mg over the two year period.  combined with monthly psychiatric follow ups.,lexapro,0,,,,
"the treatment was used because the condition was not improving with the use of other medications. therefore, after introducing prednisone the patient's condition improved significantly. when the patient stopped taking the medications it resulted in the resurgence of a flare up.",prednisone,-1,,,,
"I began taking 10 mg. in the morning and 10 mg. at night. THis was the best dose, but as I began to feel the need to get off the drug I eliminated the 10 mg at night. I felt a slight drop in well-being, but adjusted to it.

THe withdrawal rom only 10 mg took several months and required the substitution of wellbutrin on order to get through it.

I now take 150mg of wellbutrin which has a mood stabilizing effect, but not the feeling of ""well-being"" I had from prozac.",prozac,-2,,,,
No medication is a complete cure for depression. I had tried at least half a dozen other medications before we settled on this one.,pristiq,1,,,,
"after 2 weeks  stopped taking the drug - i felt ill for days afterwards then decided to improve my diet, exercise and attitude and now feel a lot better",citalopram,1,,,,
discontinued use because did not relieve symptioms and the side effects were too severe,paxil,-3,,,,
"I started slowly and built up as recommended.  I have been very faithful and have not missed 1 dose in the 4 months on this medication.  I am now at 150mg 2x per day.  I think I will stop at this dosage as it is done its job on me...I don't need a higher dosage.  When I was at 200mg I was mostly ""fixed"", but still had rage issues and was still impulsive.  That is gone now.",lamictal,4,,,,
i was on adderall  off and on for approximately 3 months.  i was diagnosed with adult add and put on adderall to control it.  it worked quite effectively but u decided to discontinue using it and seek alternative non medicinal treatments,adderall,2,,,,
"My prescriber and I went through about 3 different medications before Adderall, and those did have unpleasant side effects such as sweaty palms (all the time), dizziness, and heart palpitations.  Once I found that Adderall didn't cause side effects for me, we gradually increased the dosage from 5 mg to 10mg and then back down to 7.5 mg which works best for me.",adderall,2,,,,
I took 20/mg a day each day for some number of years.,celexa,0,,,,
"I was put on 12.5mg, then 25mg, and we were going to keep raising the dose slowly to minimize risk.",lamotrigine,-2,,,,
"I have always known that my son had ADHD, evan as a baby.  I started looking into medication last year.  My son was in 1st grade and had already been suspended from school 3 times.  He also was in the principals office at least 3 times a week.  He was not able to sit still or focus and was having trouble making friends because of his temper.  My husband was against medication, but I talked him into a non-stimulant. We tried Intuniv first, but, that dropped his blood pressure to a dangerous level. Then we found Strattera, our miracle drug.  Within a week we noticed a HUGE difference.  My sons outburst of rage had completely stopped.  This year he hasnt been to the principals office once and his grades are mostly A's with a few B's.  He has also become very popular this year and is invited to almost every Birthday party. I cant tell you how hard it is to see every child in the class invited to birthday parties except your son.  The best part is he is still himself.  The medication doesnt make him groggy or zombie like.  I dont know what we would have done without this drug.  The only side effect we noticed was that he would get a little more whiney than usual in the evening, when the medication was wearing off.  Other than that, we havent noticed any other side effects.  Thank you Strattera",strattera,8,,,,
My doctor added Abilify to my 60 mg of Cymbalta because I was feeling really fatigued and unable to function.,abilify,-3,,,,
"In April 2005, I felt some mild discomfort in my chest or precordium, which was did not simulate any cardiac pain, ECG was within normal limit, even then I was admitted in a Hospital. Trop-T test indicated Myocardial Infarction. Angiography revealed 90% block in Left Posterior Circumflex Artery, PTCA was done followd by non-drug-elluting stent.",ecotrin,-2,,,,
WEAR THE RING 3 WEEKS IN A ROW AND REMOVE THE WEEK OF YOUR PERIOD AND INSERT A NEW RING THE FIRST SUNDAY AFTER YOUR PERIOD.,nuvaring,0,,,,
"I was prescribed the medication for moderate acne. I have been using it every night, a pea-sized amount all over my face except eyes, 30 minutes after washing and drying my face with a mild soap. I wait unitl it dries before going to bed, so it won't smear off. I use a moisturizing cream the next day with SPF of at least 15.",differin,-2,,,,
"I took for approximately one month, while pumping and nursing.",reglan,0,,,,
Continue on current dose; recheck labs in 6 months. Follow low fat (esp hydrogenated fats) diet,zocor,0,,,,
One 16 mg tablet to be taken daily. I had been given other blood pressure medication previously which I did not respond as well to so It took a few tries to get it right. I would like to be able to stop taking the medication and am trying to lose weight and lead a healthier lifestyle but all the literature seems to suggest that I may always need to take the medication.,atacand,0,,,,
"Daily dosage of Lisinpril with HCTZ (water pill) 20mg. Reduce / limit intake of all forms of dietary sodium to 1000 - 1500mg. per day to reduce pitting edema. Brisk walking exercise 3-5 times a week for 45 minutes per session.



Baby asprin daily and Vytorin to effect cholesterol levels.",prinivil,2,,,,
Applied daily (at night) to affected areas with acne,retin-a-micro,-1,,,,
Taken as directed (once a day at night) resulted in nightmarish dreams and waking hallucinations.,sustiva,1,,,,
"I took it for 10 days, 500 mg tablets three times daily with food.",dispermox,0,,,,
"1 caps (15 or 20 mg., don't remember now) per day, at morning. No any dependance, you can take it or not. But you'll see how much more is your lack of willingness and dream to be thin without it))",meridia,2,,,,
i followed the directions and everything worked well.  I was not dizzy or lightheaded or any other problems that I noticed consciosly.,naprosyn,-1,,,,
Do not want to disclose,ativan,-1,,,,
Was hospitalized for two weeks after a suicide attempt. Was treated in hospital and released after properly medicated and was of sound mind.,seroquel,-4,,,,
"I was diagnosed as having mild depression when I was 17. I was prescribed a mild dose (10mg) of celexa by my doctor. At the time, (being a teenager) I was frequently tired anyway. I think this is why I did not notice the side effect at first. But years later, I decided to try going off it, and discovered an increase in energy and motivation. After that, I tried a few other drugs like lexipro (which gave me the same side effects), and Wellbutrin (which made me feel manic, highly anxious and stressed). I had tried the Wellbutrin because I was told it would not make me sleepy. Unfortunately, in increased my anxiety to the extreme. Recently, I have gone to a therapist and with some therapy, I am no longer on any drugs. This is what I should have done in the first place.",celexa,0,,,,
"zyprexa has enabled me to enjoy life again and keep me out of hospital.unlike the older anti-psychotics i'm not apathetic about every thing,but enjoy doing things.",zyprexa,7,,,,
"applied to face and chest sparingly daily after washing.

My face and chest both became very red, and my face especially got so bad it looked like hamburger meat.  My chest had many small red spots.  One area under my eye blistered and then became infected.  I did not even want to see sunlight, I became so sun sensitive. After I stopped using the medication it took at least a week to feel anything like normal.  a horrible experience.  but I do think it made my skin look better.",efudex,-4,,,,
Take at night as a sleeping aid to fall asleep and stay asleep.,ambien-cr,0,,,,
1 injection every 3 weeks. Then a reduction in the dose by 25 percente after the 4 th week due to netropenia.,taxotere,0,,,,
"One tablet a day 20 mg then reduced to 10 after 3 months. No other health issues.



I Stopped taking the drug.",lipitor,0,,,,
"At the first sign of a cold sore flare up, such as tingling, puffiness, or pain at the location were the cold sore normally flares up, you begin the treatment. My doctor prescribed 400mg 3 times a day for 5 days. 

It is very important to begin treatment immediately. Hours can make a difference, once the blister has formed, its probably too late and you will have to go through the scabbing and healing process. However, I have found that if treatment is started immediately at first sign of tingling, the blister is prevented altogether. At least, that is my personal experience.",zovirax,-3,,,,
"The drug taken for ten days in conjunction with antibiotic course, to treat multiple stomach ailments.  The pills were large, but taken singly, so the treatment was easy to follow.",flagyl,1,,,,
As needed,clonazepam,0,,,,
"I would take 2x20mg pills daily. I needed to moisturize my face once a day also.

When i began I weaned myself onto the drug -- take 20mg for the first week before stepping upto the 40mg dose.",accutane,0,,,,
"At the first symptoms of a migraine I wojld pop a copule of tablets. For severe migraines I would repeat the dosage about 8 hours later. However, over time I found the medication to be less effective and ultimately stopped taking it. It seems as though my body became immune to it's effectiveness.",ponstel,2,,,,
"taking pain medication while recovering from surgery...had an open wound with wound vac.  The pain was so severe, especially when it came time to change the dressings and clean out the wound in which case I would double up on the medication.  It helped with the pain, but also doubled the side effects I was feeling.",lortab,-1,,,,
"Daily dosage starting at 30mg and slowly increasing to maitenance dose. Attended several educational groups in addition to regular group counseling, one on one counsiling, regular U/A's and regular bloodwork along with yearly physicalls.",methadone,0,,,,
"Each diskus has 60 chambers each containing a dose of medicine.  Dial to the next chamber, open it, put your mouth over the chamber hole and inhale.  I hold it in my lungs as long as I can then breathe out and rinse out my mouth.  The dosage counter lets you know how many doses remain.",advair-diskus,0,,,,
"After reading these reviews, I'm afraid of even starting this drug even with doctor's Rx. of t.5 mg daily.   Occasionally very effective but below average I think.   Why run tge risk of some of the horrible side effects, e.g. stomach surgery.  No thanks.  I'll take my prednisone!!",mobic,-2,,,,
"If you don't like receiving shots, this is definitely not the right method. It is a pretty large injection.  However, you only have to endure it four times a month and it's not painful.",depo-provera,5,,,,
"The Ortho Tri-Cyclen birth control pills are a low dosage progesterone treatment that is intended to prevent pregnancy. I was required to take one pill every day. My understanding is that I experienced a relatively rare side effect with the migraines. I have not heard any similar complaints from friends who were taking the same pill, other than complaints about weight gain, bloating and mild acne.",ortho-tri-cyclen,-1,,,,
"Started on Zyrtec after Claritin was ineffective and Allegra caused arrhythmias.  Combined with nasal steroid spray for very effective relief of allergies.  Cut dose to 5 mg daily to reduce brain fog/fatigue issue - this works most of the time, ezcept on high mold spore or pollen days.",zyrtec,-1,,,,
"I started with the 20mg dosage and it seemed to be working pretty well until about a month in when I had a bad anxiety attack.  After seeing the doctor, she upped me to 40mg.  After one dosage of 40mg, I nearly passed out twice and started profusely sweating.  My hearing also went all funny.  The doctor advised me to drop back down to 20mg and then try to go back up to the 40mg.  Emotionally, I felt better after the 40mg, even after nearly fainting, but the side effects were very bad.",citalopram,-3,,,,
"1 pill every day for 12 weeks, then 1 week of period pills",seasonique,0,,,,
Prilosec 40mg at HS,prilosec,0,,,,
"I was prescribed four tablets per day for the first week, then I needed to wean down to three tablets for three days, two tablets for three days and then one tablet for three days.",prednisone,0,,,,
"One tablet every few weeks (on average), when necessary for tachycardia caused by exercise, hot weather, coffee, allergic reactions, sitting for long periods in one posture - particularly on a long place flight; etc.",atenolol,-2,,,,
benil taken 2x a day to control diarhea; flucanzole 1x  a day for thrush; rest of medications for nausea,bentyl,0,,,,
"I kept forgetting to take my daily birth control pill, so my doctor prescribed the Nuvaring. I put it in once, take it out in 3 to 4 weeks, and put a new one in a week later (after menstruation). I don't forget anymore and have no worries about an unwanted pregnancy.",nuvaring,-5,,,,
One dime size topical application once every night before bed. This was alternated every other night with a topical retinol cream and combined with an antibiotic pill that was taken daily with a meal.,differin,0,,,,
"I have always been depressed.  This flared up considerable when I was having trouble with endometrious.  I was just sick of myself.  Within a few days of taking Lexapro, I felt beeter and could make reliable decisions about things.  After my hysterectomy, I needed the meds to work with the HRT.  I just needed a little boost because my body was not responding to the hormone therapy like it should.",lexapro,-5,,,,
"Take the medication in larger doses at the very beginning, and then taper off gradually.  Very important to taper, no sudden stops or starts to this medication, adverse effects if you do.",prednisone,2,,,,
"I took Fosamax for almost 4 years and after 2 bone density scans which showed no improvement  I decided to stop the treatment, against my doctor advice which was to take Fosamax for at least 5 years. I believe that we still do not know enough about how the bone keeps itself healthy and that bone scans are not yet reliable. It's a big business and I finally refused to keep a medication that is so hard on the digestive system and can also have very dangerous side effects (frozen bones, I believe it is called). I still have to be convinced that a low density bone is not necessarily stronger than a bone with more density. Waiting for more research I am trying to walk as much as possible and to follow a reasonable diet. And to be at peace with myself...  Thanks!",fosamax,-3,,,,
"Medication prescribed after root canal dental work to treat initial symptoms of infection. While infection did not occur, diarrhea was so persistent that I had to seek medical treatment. Will not take this again.",clindamycin,-4,,,,
"I have a 6 year history of ruptured discs cervical and lumbar with cord compression post MVA  resulting in leg spasms, fasciculations and strong diffuse leg ache with limited range of motion.also weakness of both extremities and numbness in big toe.

I am on 150mg qhs (once every night before bedtime). I supplement the lyrica with Aleve during the day.",lyrica,-2,,,,
"I take it prn when my anxiety is at a high level, I have one with me at all times incase I need it, one usually does the trick and I feel ""normal"" it is a feeling I have not had in a long time, I would recomment this drug to anyone suffering from anxiety and or panic.",alprazolam,-4,,,,
"I had scoliosis and also landed on my head in a dirt bike riding accident.I had back and neck surgery. I was fused in my last three vertebrae and had a 14"" rod implanted on the left side of my back and also one of the vertebrae in my neck was fused. I had physical therapy and was given methadone for the pain.",methadone,-6,,,,
"Prescribed about a month ago Recently diagnosed with Type 2 diabetes. Tried for the better part of three weeks. The side effects were mild at first, but intensified so much, I ended up in the ER. Stopped taking it two days ago and slowly regaining my strength.",glucophage,3,,,,
"in the evening after washing my face lightly  without hard rubbing ,using a mild face cleanser, i would let it dry for a good half hour then apply the renova cream also lightly no hard rubing in ,then let it be absorbed into skin.",renova,3,,,,
"Initially I was only prescriped paxil and xanax.  I took only these for a few months under my PMD.  Dose was increased from a lower one to 20mg as my depression and anxiety symptoms were still moderately severe, impairing my work performace and other quality of life.  Withing a few months I was referred to a psychiatrist for med mgmt. After less than 6 months, Wellbutrin was added to the cocktail at a dose of 150mg, then increased to 300mg XL once daily.  Ambien was also presccribed as my symptoms did not allow me to fall asleep.  Life greatly improved within the next 8 months to a year.  I weaned off the ambien and xanax completely.  Still take the paxil and wellbutrin at the same doses.  Also had counseling during all of this time.",paxil,1,,,,
"I was put on Tamoxifen for 5 years following my 9/05 breast cancer diagnosis. I started Tamoxifen 12/05. I started Zoloft 2 months later when I began having mood swings. Zoloft helped for a year then I felt my symptoms returning. I began Effexor at 75 mg and have been fine. My oncologist felt I am young and strong (age 46, exercise 4 times weekly, runner, martial artist) and that I should try to lower or end my Effexor. However, I didn't agree. I needed help with the mood swings and irritability. I can't lose my temper at work. I work with developmentally disabled adults. Losing my temper could be my job. I did try a natural regime of vitamins (B-12 and E) for several months but I felt no relief. Friends even told me about my mood. I went from depressed to angry in a flash. The 75 mg of Effexor is wonderful. My estrogen is blocked by the Tamoxifen and the effexor helps keep me at an even keel.",nolvadex,5,,,,
The doseage was one pill/day,allegra,0,,,,
I take half a 10 mg tablet in the morning and the other half in the late afternoon.,buspar,0,,,,
"After the diagnosis of PMR, I was instructed to take 10 mg. in the morning. Although the pain diminished, it was still high so dosage was increased to 15 mg. I repeatedly advise the rheumatolist of the breathing problems to no avail. The family doctor suggested dropping the dosage to 7 1/2 mg. per day, but the pain became extreme again so I went back to the initial dose of 10 m.g. The rheumatolist has suggested that I will be on prednisone for a year.",prednisone,-4,,,,
"supposed to take one tablet before each meal and one at bedtime. i take only one at bedtime and have still had considerable success w/ibs symptoms. i also supplement with acacia powder, apple cider vinegar, acidophilus supplements, and magnesium supplements.",dicyclomine,2,,,,
"Once a migraine is formulating, one pill is to be taken.  The medication took almost thirty minutes to kick in.  Once the medication started to take affect, I began to develop a tingling sensation in my left hand and later my right hand.  I also noticed my hands were very shaky after the medication was in my system for at least an hour.",relpax,-2,,,,
